time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-30,8.5,6.0,12.0,5.6,,250.4,27.4,,1009.7,
2016-01-31,9.8,5.0,14.0,0.0,,235.9,22.7,,1009.0,
2016-02-01,12.9,11.0,14.0,1.3,,245.0,34.3,,1014.7,
2016-02-02,9.1,6.0,11.0,0.0,,250.0,31.2,,1015.0,
2016-02-03,6.3,4.0,9.0,0.3,,262.4,22.3,,1021.9,
2016-02-04,10.2,5.0,14.0,0.0,,253.2,21.8,,1025.0,
2016-02-05,10.9,10.0,11.0,0.0,,219.0,22.1,,1018.1,
2016-02-06,11.2,10.0,13.0,1.3,,193.8,30.8,,997.8,
2016-02-07,7.0,4.5,9.7,6.9,,228.9,25.0,,991.7,
2016-02-08,7.8,6.2,9.1,14.5,,252.1,37.6,,986.7,
2016-02-09,5.2,3.6,7.4,1.8,,255.3,17.9,,988.5,
2016-02-10,6.7,5.0,9.0,0.5,,266.3,19.2,,996.9,
2016-02-11,5.2,2.0,9.0,0.5,,247.6,8.9,,1003.8,
2016-02-12,4.8,3.0,6.0,0.3,,104.2,13.0,,995.9,
2016-02-13,3.5,1.1,4.6,0.0,,72.1,16.3,,987.3,
2016-02-14,4.6,3.0,7.0,4.1,,5.5,16.0,,997.0,
2016-02-15,2.6,,,0.0,,,,,,
2016-02-16,3.6,0.0,8.0,0.0,,177.5,8.7,,1033.8,
2016-02-17,4.8,2.0,7.0,0.0,,157.3,12.2,,1014.8,
2016-02-18,3.7,-1.0,7.0,8.9,,,,,1014.1,
2016-02-19,6.0,2.0,10.0,0.3,,216.2,19.2,,1015.6,
2016-02-20,10.4,8.4,12.3,0.3,,260.9,27.0,,1009.0,
2016-02-21,13.1,11.0,15.0,2.3,,241.2,30.5,,1010.2,
2016-02-22,9.3,7.0,13.0,1.5,,284.4,17.6,,1009.1,
2016-02-23,6.5,4.0,9.0,0.8,,321.4,11.2,,1017.0,
2016-02-24,3.8,0.0,7.0,0.0,,,4.4,,1018.2,
2016-02-25,0.8,-3.1,5.3,0.0,,295.8,6.5,,1016.8,
2016-02-26,3.8,0.0,8.0,0.0,,,10.7,,1010.3,
2016-02-27,4.8,4.0,6.0,0.0,,50.3,17.8,,1010.9,
2016-02-28,4.5,2.3,7.6,0.0,,55.8,19.4,,1021.2,
2016-02-29,5.4,2.0,9.0,0.0,,76.6,9.1,,1026.5,
2016-03-01,9.3,5.0,13.0,0.3,,225.3,24.6,,1011.2,
2016-03-02,6.3,4.0,9.0,6.4,,256.6,30.5,,999.1,
2016-03-03,7.0,4.0,9.0,4.1,,261.5,21.8,,1003.1,
2016-03-04,6.2,4.0,8.0,2.3,,266.0,17.3,,991.5,
