time,pres
2016-01-30,1009.7
2016-01-31,1009.0
2016-02-01,1014.7
2016-02-02,1015.0
2016-02-03,1021.9
2016-02-04,1025.0
2016-02-05,1018.1
2016-02-06,997.8
2016-02-07,991.7
2016-02-08,986.7
2016-02-09,988.5
2016-02-10,996.9
2016-02-11,1003.8
2016-02-12,995.9
2016-02-13,987.3
2016-02-14,997.0
2016-02-15,
2016-02-16,1033.8
2016-02-17,1014.8
2016-02-18,1014.1
2016-02-19,1015.6
2016-02-20,1009.0
2016-02-21,1010.2
2016-02-22,1009.1
2016-02-23,1017.0
2016-02-24,1018.2
2016-02-25,1016.8
2016-02-26,1010.3
2016-02-27,1010.9
2016-02-28,1021.2
2016-02-29,1026.5
2016-03-01,1011.2
2016-03-02,999.1
2016-03-03,1003.1
2016-03-04,991.5
2016-03-05,1000.1
2016-03-06,1005.7
2016-03-07,1009.6
2016-03-08,1013.2
2016-03-09,996.6
2016-03-10,1019.1
2016-03-11,1028.2
2016-03-12,1030.8
2016-03-13,1034.5
2016-03-14,1032.9
2016-03-15,1030.3
2016-03-16,1029.7
2016-03-17,1030.1
2016-03-18,1027.0
2016-03-19,1026.4
2016-03-20,1025.1
2016-03-21,1023.1
2016-03-22,
2016-03-23,
2016-03-24,1013.2
2016-03-25,1013.4
2016-03-26,1004.3
2016-03-27,
2016-03-28,
2016-03-29,1002.2
2016-03-30,1007.8
2016-03-31,1015.2
2016-04-01,1019.2
2016-04-02,1012.4
2016-04-03,1005.3
2016-04-04,1002.1
2016-04-05,1006.9
2016-04-06,1007.4
2016-04-07,
2016-04-08,1011.3
2016-04-09,1003.4
2016-04-10,1007.3
2016-04-11,1005.8
2016-04-12,1006.6
2016-04-13,1008.1
2016-04-14,1009.2
2016-04-15,1000.9
2016-04-16,1004.0
2016-04-17,1015.5
2016-04-18,
2016-04-19,1027.9
2016-04-20,1029.9
2016-04-21,1024.1
2016-04-22,1021.6
2016-04-23,1020.6
2016-04-24,1020.1
2016-04-25,1011.0
2016-04-26,1008.2
2016-04-27,1012.1
2016-04-28,1013.1
2016-04-29,1010.5
2016-04-30,1021.0
2016-05-01,1027.4
2016-05-02,1020.7
2016-05-03,1025.2
2016-05-04,1026.4
2016-05-05,1020.2
2016-05-06,1011.1
2016-05-07,1006.7
2016-05-08,1007.0
2016-05-09,1008.1
2016-05-10,1006.3
2016-05-11,1003.4
2016-05-12,1002.4
2016-05-13,1010.1
2016-05-14,1019.8
2016-05-15,1022.2
2016-05-16,
2016-05-17,1016.4
2016-05-18,1005.1
2016-05-19,1010.9
2016-05-20,1014.1
2016-05-21,1008.9
2016-05-22,1007.5
2016-05-23,1017.3
2016-05-24,1021.5
2016-05-25,1018.0
2016-05-26,1016.0
2016-05-27,1016.7
2016-05-28,1015.5
2016-05-29,1013.6
2016-05-30,1015.7
2016-05-31,1016.3
2016-06-01,1020.9
2016-06-02,1020.9
2016-06-03,1017.8
2016-06-04,1017.3
2016-06-05,1020.5
2016-06-06,1021.6
2016-06-07,1022.6
2016-06-08,1023.7
2016-06-09,1021.7
2016-06-10,1013.8
2016-06-11,1010.6
2016-06-12,1007.1
2016-06-13,1002.2
2016-06-14,996.6
2016-06-15,996.5
2016-06-16,1000.4
2016-06-17,1007.0
2016-06-18,1019.0
2016-06-19,1022.7
2016-06-20,1013.7
2016-06-21,1016.7
2016-06-22,1018.8
2016-06-23,1015.9
2016-06-24,1017.6
2016-06-25,1016.8
2016-06-26,1017.7
2016-06-27,1017.3
2016-06-28,1014.3
2016-06-29,1008.6
2016-06-30,1008.8
2016-07-01,1008.5
2016-07-02,1013.5
2016-07-03,1018.2
2016-07-04,1018.6
2016-07-05,1017.4
2016-07-06,1022.0
2016-07-07,1019.5
2016-07-08,1016.1
2016-07-09,1017.3
2016-07-10,1008.8
2016-07-11,1007.5
2016-07-12,1012.1
2016-07-13,1017.8
2016-07-14,1023.7
2016-07-15,1026.3
2016-07-16,1024.6
2016-07-17,1022.3
2016-07-18,1021.5
2016-07-19,1017.1
2016-07-20,1009.5
2016-07-21,1016.0
2016-07-22,1018.4
2016-07-23,1019.7
2016-07-24,1018.8
2016-07-25,1019.1
2016-07-26,1020.8
2016-07-27,1015.5
2016-07-28,1014.1
2016-07-29,1010.9
2016-07-30,1013.4
2016-07-31,1016.8
2016-08-01,1018.6
2016-08-02,1010.0
2016-08-03,1007.6
2016-08-04,1009.4
2016-08-05,1019.2
2016-08-06,1026.2
2016-08-07,1023.5
2016-08-08,1021.5
2016-08-09,1025.0
2016-08-10,1024.8
2016-08-11,1022.1
2016-08-12,1023.3
2016-08-13,1022.4
2016-08-14,1025.1
2016-08-15,1024.6
2016-08-16,1019.5
2016-08-17,1013.6
2016-08-18,1010.3
2016-08-19,1006.8
2016-08-20,1006.3
2016-08-21,1015.5
2016-08-22,1022.7
2016-08-23,1022.5
2016-08-24,1017.8
2016-08-25,1015.2
2016-08-26,1017.4
2016-08-27,1014.6
2016-08-28,1012.9
2016-08-29,1022.0
2016-08-30,1024.2
2016-08-31,1020.6
2016-09-01,1022.7
2016-09-02,1019.0
2016-09-03,1015.7
2016-09-04,1012.3
2016-09-05,1019.0
2016-09-06,1023.2
2016-09-07,1018.0
2016-09-08,1011.4
2016-09-09,1014.7
2016-09-10,1012.6
2016-09-11,1016.8
2016-09-12,1013.2
2016-09-13,1009.5
2016-09-14,1010.1
2016-09-15,1009.9
2016-09-16,1012.2
2016-09-17,1020.0
2016-09-18,1020.9
2016-09-19,1021.6
2016-09-20,1020.3
2016-09-21,1017.5
2016-09-22,1018.9
2016-09-23,1024.0
2016-09-24,1017.4
2016-09-25,1014.2
2016-09-26,1022.0
2016-09-27,1022.4
2016-09-28,1023.7
2016-09-29,1014.1
2016-09-30,1012.4
2016-10-01,1006.5
2016-10-02,1016.1
2016-10-03,1028.5
2016-10-04,1030.1
2016-10-05,1029.6
2016-10-06,1025.7
2016-10-07,1022.5
2016-10-08,1025.8
2016-10-09,1028.0
2016-10-10,1026.4
2016-10-11,1023.0
2016-10-12,1020.4
2016-10-13,1013.3
2016-10-14,1006.4
2016-10-15,1006.4
2016-10-16,1011.9
2016-10-17,1017.8
2016-10-18,1019.7
2016-10-19,1021.2
2016-10-20,1021.1
2016-10-21,1020.2
2016-10-22,1016.6
2016-10-23,1012.0
2016-10-24,1012.9
2016-10-25,1022.5
2016-10-26,1028.1
2016-10-27,1031.8
2016-10-28,1033.6
2016-10-29,1034.6
2016-10-30,1030.7
2016-10-31,1027.0
2016-11-01,1024.3
2016-11-02,1024.9
2016-11-03,1021.3
2016-11-04,1009.7
2016-11-05,1006.0
2016-11-06,1006.5
2016-11-07,1011.9
2016-11-08,1010.0
2016-11-09,1000.2
2016-11-10,1007.4
2016-11-11,1020.7
2016-11-12,1016.8
2016-11-13,1026.7
2016-11-14,1029.4
2016-11-15,1025.3
2016-11-16,1015.3
2016-11-17,1000.6
2016-11-18,995.6
2016-11-19,1000.2
2016-11-20,987.2
2016-11-21,989.2
2016-11-22,999.3
2016-11-23,1017.4
2016-11-24,1023.1
2016-11-25,1022.1
2016-11-26,1021.1
2016-11-27,1025.0
2016-11-28,1030.1
2016-11-29,1034.1
2016-11-30,1034.8
2016-12-01,1030.9
2016-12-02,1026.9
2016-12-03,1025.6
2016-12-04,1024.1
2016-12-05,1024.6
2016-12-06,1027.1
2016-12-07,1026.2
2016-12-08,1025.5
2016-12-09,1025.3
2016-12-10,1020.7
2016-12-11,1024.6
2016-12-12,1022.5
2016-12-13,1019.9
2016-12-14,1019.7
2016-12-15,1019.0
2016-12-16,1024.9
2016-12-17,1037.5
2016-12-18,1036.2
2016-12-19,1027.3
2016-12-20,1021.1
2016-12-21,1019.3
2016-12-22,1027.3
2016-12-23,1025.8
2016-12-24,1026.0
2016-12-25,1023.3
2016-12-26,1031.5
2016-12-27,1043.8
2016-12-28,1042.7
2016-12-29,1037.5
2016-12-30,1036.6
2016-12-31,1030.8
2017-01-01,1018.6
2017-01-02,1028.4
2017-01-03,1028.0
2017-01-04,1025.6
2017-01-05,1034.4
2017-01-06,1036.1
2017-01-07,1032.0
2017-01-08,1032.0
2017-01-09,1019.1
2017-01-10,1011.1
2017-01-11,1011.0
2017-01-12,1004.9
2017-01-13,1009.1
2017-01-14,1020.2
2017-01-15,1022.6
2017-01-16,1027.7
2017-01-17,1035.9
2017-01-18,1038.1
2017-01-19,1037.3
2017-01-20,1033.6
2017-01-21,1028.1
2017-01-22,1027.3
2017-01-23,1028.3
2017-01-24,1028.2
2017-01-25,1027.7
2017-01-26,1020.1
2017-01-27,1010.8
2017-01-28,1010.0
2017-01-29,1011.7
2017-01-30,1010.9
2017-01-31,1012.9
2017-02-01,1006.5
2017-02-02,997.1
2017-02-03,994.7
2017-02-04,997.3
2017-02-05,1003.6
2017-02-06,1017.3
2017-02-07,1014.2
2017-02-08,1026.2
2017-02-09,1027.8
2017-02-10,1024.0
2017-02-11,1022.5
2017-02-12,1022.5
2017-02-13,1022.0
2017-02-14,1023.2
2017-02-15,1027.7
2017-02-16,1029.4
2017-02-17,1027.7
2017-02-18,1025.2
2017-02-19,1022.4
2017-02-20,1018.7
2017-02-21,1015.9
2017-02-22,1008.2
2017-02-23,998.1
2017-02-24,1015.9
2017-02-25,1013.4
2017-02-26,1005.7
2017-02-27,990.1
2017-02-28,988.5
2017-03-01,998.2
2017-03-02,1008.0
2017-03-03,998.8
2017-03-04,989.2
2017-03-05,991.1
2017-03-06,1004.3
2017-03-07,1016.3
2017-03-08,1012.5
2017-03-09,1020.4
2017-03-10,1025.1
2017-03-11,1018.1
2017-03-12,1015.1
2017-03-13,1028.4
2017-03-14,1032.2
2017-03-15,1032.5
2017-03-16,1023.1
2017-03-17,1017.1
2017-03-18,1010.2
2017-03-19,1008.9
2017-03-20,1004.3
2017-03-21,1008.8
2017-03-22,1006.4
2017-03-23,1015.4
2017-03-24,1028.1
2017-03-25,1029.3
2017-03-26,
2017-03-27,1022.2
2017-03-28,1019.9
2017-03-29,1021.4
2017-03-30,1018.7
2017-03-31,1010.1
2017-04-01,1009.4
2017-04-02,1021.2
2017-04-03,1025.2
2017-04-04,1025.7
2017-04-05,1030.9
2017-04-06,1030.6
2017-04-07,1027.3
2017-04-08,1023.7
2017-04-09,1020.2
2017-04-10,1025.2
2017-04-11,1027.2
2017-04-12,1019.3
2017-04-13,1018.4
2017-04-14,1016.9
2017-04-15,1018.0
2017-04-16,1021.9
2017-04-17,1022.7
2017-04-18,1030.7
2017-04-19,1036.4
2017-04-20,1035.9
2017-04-21,1031.8
2017-04-22,1028.5
2017-04-23,1026.0
2017-04-24,1016.4
2017-04-25,1014.0
2017-04-26,1018.0
2017-04-27,1019.1
2017-04-28,1016.8
2017-04-29,1014.7
2017-04-30,1002.5
2017-05-01,1004.2
2017-05-02,1018.7
2017-05-03,1022.3
2017-05-04,1022.4
2017-05-05,1021.1
2017-05-06,1013.6
2017-05-07,1020.5
2017-05-08,1026.6
2017-05-09,1022.8
2017-05-10,1008.8
2017-05-11,996.8
2017-05-12,996.7
2017-05-13,1007.2
2017-05-14,1017.8
2017-05-15,1024.3
2017-05-16,1023.4
2017-05-17,1017.0
2017-05-18,1012.6
2017-05-19,1011.9
2017-05-20,1017.4
2017-05-21,1023.3
2017-05-22,1016.5
2017-05-23,1020.6
2017-05-24,1025.2
2017-05-25,1023.7
2017-05-26,1018.0
2017-05-27,1013.8
2017-05-28,1017.7
2017-05-29,1012.5
2017-05-30,1015.1
2017-05-31,1022.0
2017-06-01,1020.8
2017-06-02,1016.1
2017-06-03,1014.4
2017-06-04,1016.0
2017-06-05,1007.7
2017-06-06,995.2
2017-06-07,1010.7
2017-06-08,1010.1
2017-06-09,1010.8
2017-06-10,1016.2
2017-06-11,1014.0
2017-06-12,1017.2
2017-06-13,1019.6
2017-06-14,1016.9
2017-06-15,1014.6
2017-06-16,1023.5
2017-06-17,1026.4
2017-06-18,1023.4
2017-06-19,1019.1
2017-06-20,1017.6
2017-06-21,1014.6
2017-06-22,1011.8
2017-06-23,1015.8
2017-06-24,1013.6
2017-06-25,1012.3
2017-06-26,1013.9
2017-06-27,1007.2
2017-06-28,998.1
2017-06-29,996.2
2017-06-30,1004.1
2017-07-01,1015.3
2017-07-02,1020.5
2017-07-03,1020.4
2017-07-04,1019.9
2017-07-05,1018.3
2017-07-06,1014.2
2017-07-07,1015.6
2017-07-08,1018.1
2017-07-09,1013.0
2017-07-10,1008.4
2017-07-11,1009.4
2017-07-12,1014.3
2017-07-13,1021.8
2017-07-14,1019.7
2017-07-15,1021.9
2017-07-16,1022.5
2017-07-17,1023.1
2017-07-18,1016.8
2017-07-19,1006.3
2017-07-20,1007.5
2017-07-21,1008.5
2017-07-22,1007.9
2017-07-23,1011.2
2017-07-24,1013.8
2017-07-25,1015.9
2017-07-26,1007.9
2017-07-27,1006.6
2017-07-28,1008.1
2017-07-29,1007.6
2017-07-30,1005.5
2017-07-31,1011.1
2017-08-01,1014.4
2017-08-02,1012.1
2017-08-03,1006.8
2017-08-04,1011.0
2017-08-05,1016.5
2017-08-06,1021.8
2017-08-07,1017.5
2017-08-08,1011.0
2017-08-09,1015.4
2017-08-10,1023.1
2017-08-11,1019.2
2017-08-12,1015.6
2017-08-13,1020.9
2017-08-14,1017.5
2017-08-15,1015.0
2017-08-16,1018.9
2017-08-17,1011.3
2017-08-18,1011.0
2017-08-19,1016.7
2017-08-20,1023.1
2017-08-21,1020.8
2017-08-22,1018.9
2017-08-23,1013.5
2017-08-24,1016.8
2017-08-25,1017.3
2017-08-26,1016.2
2017-08-27,1018.3
2017-08-28,1017.5
2017-08-29,1013.5
2017-08-30,1013.2
2017-08-31,1016.9
2017-09-01,1021.3
2017-09-02,1021.9
2017-09-03,1013.6
2017-09-04,1011.5
2017-09-05,1013.6
2017-09-06,1018.7
2017-09-07,1014.3
2017-09-08,1000.2
2017-09-09,997.6
2017-09-10,998.8
2017-09-11,993.8
2017-09-12,1004.1
2017-09-13,998.5
2017-09-14,1007.5
2017-09-15,1013.1
2017-09-16,1011.8
2017-09-17,1013.6
2017-09-18,1017.0
2017-09-19,1021.3
2017-09-20,1019.0
2017-09-21,1015.5
2017-09-22,1021.2
2017-09-23,1021.6
2017-09-24,1019.3
2017-09-25,1019.6
2017-09-26,1022.1
2017-09-27,1019.6
2017-09-28,1017.9
2017-09-29,1016.0
2017-09-30,1016.5
2017-10-01,1010.9
2017-10-02,1012.9
2017-10-03,1022.2
2017-10-04,1022.3
2017-10-05,1017.1
2017-10-06,1025.6
2017-10-07,1018.4
2017-10-08,1019.8
2017-10-09,1019.1
2017-10-10,1015.1
2017-10-11,1011.2
2017-10-12,1019.4
2017-10-13,1021.9
2017-10-14,1023.7
2017-10-15,1018.4
2017-10-16,1015.8
2017-10-17,1018.9
2017-10-18,1012.1
2017-10-19,1004.2
2017-10-20,1003.6
2017-10-21,1002.1
2017-10-22,1012.3
2017-10-23,1017.6
2017-10-24,1017.8
2017-10-25,1020.0
2017-10-26,1024.8
2017-10-27,1032.4
2017-10-28,1026.7
2017-10-29,1023.0
2017-10-30,1030.7
2017-10-31,1026.1
2017-11-01,1019.2
2017-11-02,1015.9
2017-11-03,1013.6
2017-11-04,1004.9
2017-11-05,1014.7
2017-11-06,1025.0
2017-11-07,1017.9
2017-11-08,1022.6
2017-11-09,1023.6
2017-11-10,1019.8
2017-11-11,1011.9
2017-11-12,1012.3
2017-11-13,1025.6
2017-11-14,1023.9
2017-11-15,1024.1
2017-11-16,1023.4
2017-11-17,1029.1
2017-11-18,1023.0
2017-11-19,1023.4
2017-11-20,1015.7
2017-11-21,1009.8
2017-11-22,997.7
2017-11-23,997.3
2017-11-24,1010.5
2017-11-25,1016.4
2017-11-26,1023.8
2017-11-27,1013.5
2017-11-28,1008.7
2017-11-29,1010.6
2017-11-30,1012.3
2017-12-01,1020.9
2017-12-02,1027.0
2017-12-03,1026.9
2017-12-04,1033.3
2017-12-05,1035.3
2017-12-06,1027.2
2017-12-07,1010.3
2017-12-08,1015.6
2017-12-09,1015.0
2017-12-10,982.6
2017-12-11,985.3
2017-12-12,1007.1
2017-12-13,996.4
2017-12-14,991.1
2017-12-15,998.6
2017-12-16,1017.7
2017-12-17,1022.6
2017-12-18,1029.0
2017-12-19,1035.0
2017-12-20,1035.1
2017-12-21,1035.4
2017-12-22,1035.8
2017-12-23,1033.6
2017-12-24,1024.5
2017-12-25,1007.4
2017-12-26,993.5
2017-12-27,987.7
2017-12-28,1003.4
2017-12-29,997.7
2017-12-30,996.4
2017-12-31,994.6
2018-01-01,999.1
2018-01-02,1005.0
2018-01-03,996.3
2018-01-04,994.7
2018-01-05,994.6
2018-01-06,1009.8
2018-01-07,1025.3
2018-01-08,1021.4
2018-01-09,1007.7
2018-01-10,1004.7
2018-01-11,1017.9
2018-01-12,1025.6
2018-01-13,1020.1
2018-01-14,1018.0
2018-01-15,998.7
2018-01-16,994.9
2018-01-17,1004.2
2018-01-18,1000.0
2018-01-19,1008.9
2018-01-20,1003.6
2018-01-21,1011.6
2018-01-22,1012.1
2018-01-23,1015.3
2018-01-24,1007.2
2018-01-25,1007.8
2018-01-26,1018.9
2018-01-27,1026.0
2018-01-28,1030.0
2018-01-29,1027.7
2018-01-30,1026.6
2018-01-31,1005.3
2018-02-01,1003.1
2018-02-02,1010.8
2018-02-03,1008.0
2018-02-04,1024.1
2018-02-05,1026.3
2018-02-06,1018.3
2018-02-07,1020.4
2018-02-08,1017.8
2018-02-09,1010.4
2018-02-10,1011.1
2018-02-11,1003.8
2018-02-12,1014.1
2018-02-13,1002.4
2018-02-14,1004.8
2018-02-15,1009.8
2018-02-16,1024.1
2018-02-17,1022.4
2018-02-18,1021.8
2018-02-19,1017.1
2018-02-20,1020.3
2018-02-21,1026.9
2018-02-22,1024.2
2018-02-23,1021.5
2018-02-24,1021.9
2018-02-25,1027.9
2018-02-26,1030.8
2018-02-27,1024.4
2018-02-28,1016.5
2018-03-01,1001.5
2018-03-02,993.1
2018-03-03,992.3
2018-03-04,989.7
2018-03-05,988.3
2018-03-06,988.0
2018-03-07,994.3
2018-03-08,996.4
2018-03-09,1001.2
2018-03-10,994.8
2018-03-11,990.9
2018-03-12,988.8
2018-03-13,1006.7
2018-03-14,1001.2
2018-03-15,989.4
2018-03-16,998.2
2018-03-17,1006.3
2018-03-18,1008.8
2018-03-19,1015.7
2018-03-20,1028.3
2018-03-21,1030.9
2018-03-22,1019.4
2018-03-23,1001.1
2018-03-24,1000.7
2018-03-25,
2018-03-26,1017.1
2018-03-27,1007.7
2018-03-28,1004.1
2018-03-29,1001.4
2018-03-30,994.9
2018-03-31,996.9
2018-04-01,1010.8
2018-04-02,999.7
2018-04-03,994.1
2018-04-04,993.9
2018-04-05,1013.3
